file    	Nreads	cut_found	bar_matched
lane6_NoIndex_L006_041.fastq.gz	67554	67554	66246
lane5_NoIndex_L005_035.fastq.gz	4000000	4000000	3859368
lane6_NoIndex_L006_033.fastq.gz	4000000	4000000	3975132
lane7_NoIndex_L007_021.fastq.gz	4000000	4000000	3874880
lane6_NoIndex_L006_034.fastq.gz	4000000	4000000	3973235
lane6_NoIndex_L006_040.fastq.gz	4000000	4000000	3975521
lane7_NoIndex_L007_014.fastq.gz	4000000	4000000	3914531
lane7_NoIndex_L007_004.fastq.gz	4000000	4000000	3968667
lane5_NoIndex_L005_034.fastq.gz	4000000	4000000	3861327
lane6_NoIndex_L006_035.fastq.gz	4000000	4000000	3975279
lane7_NoIndex_L007_015.fastq.gz	4000000	4000000	3959227
lane5_NoIndex_L005_015.fastq.gz	4000000	4000000	3857625
lane6_NoIndex_L006_014.fastq.gz	4000000	4000000	3972951
lane7_NoIndex_L007_010.fastq.gz	4000000	4000000	3967834
lane5_NoIndex_L005_031.fastq.gz	4000000	4000000	3864614
lane6_NoIndex_L006_023.fastq.gz	4000000	4000000	3973008
lane5_NoIndex_L005_021.fastq.gz	4000000	4000000	3833186
lane7_NoIndex_L007_032.fastq.gz	4000000	4000000	3969590
lane5_NoIndex_L005_024.fastq.gz	4000000	4000000	3864329
lane7_NoIndex_L007_005.fastq.gz	4000000	4000000	3967992
lane5_NoIndex_L005_008.fastq.gz	4000000	4000000	3859451
lane6_NoIndex_L006_039.fastq.gz	4000000	4000000	3975625
lane7_NoIndex_L007_009.fastq.gz	4000000	4000000	3967712
lane5_NoIndex_L005_019.fastq.gz	4000000	4000000	3859027
lane7_NoIndex_L007_040.fastq.gz	4000000	4000000	3966339
lane7_NoIndex_L007_025.fastq.gz	4000000	4000000	3966591
lane7_NoIndex_L007_030.fastq.gz	4000000	4000000	3968027
lane5_NoIndex_L005_026.fastq.gz	4000000	4000000	3863285
lane6_NoIndex_L006_030.fastq.gz	4000000	4000000	3975113
lane5_NoIndex_L005_032.fastq.gz	4000000	4000000	3863016
lane6_NoIndex_L006_007.fastq.gz	4000000	4000000	3972286
lane7_NoIndex_L007_018.fastq.gz	4000000	4000000	3965123
lane5_NoIndex_L005_007.fastq.gz	4000000	4000000	3849014
lane5_NoIndex_L005_018.fastq.gz	4000000	4000000	3859817
lane5_NoIndex_L005_040.fastq.gz	4000000	4000000	3861269
lane5_NoIndex_L005_020.fastq.gz	4000000	4000000	3842764
lane5_NoIndex_L005_012.fastq.gz	4000000	4000000	3862396
lane7_NoIndex_L007_008.fastq.gz	4000000	4000000	3960518
lane6_NoIndex_L006_020.fastq.gz	4000000	4000000	3973962
lane5_NoIndex_L005_023.fastq.gz	4000000	4000000	3863475
lane6_NoIndex_L006_001.fastq.gz	4000000	4000000	3971238
lane6_NoIndex_L006_026.fastq.gz	4000000	4000000	3974306
lane7_NoIndex_L007_035.fastq.gz	4000000	4000000	3943143
lane7_NoIndex_L007_033.fastq.gz	4000000	4000000	3969518
lane6_NoIndex_L006_031.fastq.gz	4000000	4000000	3975373
lane7_NoIndex_L007_012.fastq.gz	4000000	4000000	3965669
lane6_NoIndex_L006_027.fastq.gz	4000000	4000000	3973760
lane5_NoIndex_L005_006.fastq.gz	4000000	4000000	3863701
lane5_NoIndex_L005_028.fastq.gz	4000000	4000000	3859718
lane7_NoIndex_L007_042.fastq.gz	4000000	4000000	3901806
lane6_NoIndex_L006_006.fastq.gz	4000000	4000000	3973145
lane5_NoIndex_L005_013.fastq.gz	4000000	4000000	3862154
lane5_NoIndex_L005_014.fastq.gz	4000000	4000000	3855459
lane6_NoIndex_L006_017.fastq.gz	4000000	4000000	3974514
lane5_NoIndex_L005_027.fastq.gz	4000000	4000000	3864338
lane6_NoIndex_L006_036.fastq.gz	4000000	4000000	3975305
lane7_NoIndex_L007_016.fastq.gz	4000000	4000000	3964886
lane6_NoIndex_L006_013.fastq.gz	4000000	4000000	3972639
lane7_NoIndex_L007_013.fastq.gz	4000000	4000000	3967256
lane7_NoIndex_L007_031.fastq.gz	4000000	4000000	3968617
lane7_NoIndex_L007_036.fastq.gz	4000000	4000000	3933252
lane7_NoIndex_L007_043.fastq.gz	2955371	2955371	2839944
lane6_NoIndex_L006_018.fastq.gz	4000000	4000000	3974248
lane5_NoIndex_L005_042.fastq.gz	4000000	4000000	3854662
lane7_NoIndex_L007_017.fastq.gz	4000000	4000000	3965469
lane6_NoIndex_L006_004.fastq.gz	4000000	4000000	3973102
lane5_NoIndex_L005_003.fastq.gz	4000000	4000000	3864686
lane7_NoIndex_L007_006.fastq.gz	4000000	4000000	3970347
