site	lat	long	elev	sequenced
s1	29.0	99.0	3200	1
s2	29.6963888889	100.390555556	3680	0
s3	29.7572222222	100.378611111	3676	0
s4	29.9858333333	100.909722222	3548	1
s5	30.0427777778	101.273888889	3470	0
s6	30.4191666667	101.548055556	3605	1
s7	30.5769444444	101.418055556	3499	0
s8	30.6430555556	101.405	3601	1
s9	30.8280555556	101.281388889	3560	1
s10	31.2013888889	100.8575	3080	1
s11	31.3927777778	100.6825	3181	1
s12	31.5447222222	100.468611111	3292	1
s13	31.6472222222	100.263333333	3588	0
s14	31.6244444444	100.231666667	3847	0
s15	31.5497222222	100.141666667	3621	1
s16	31.7141666667	99.6166666667	3752	0
s17	31.9113888889	99.2569444444	3829	0
s18	31.8888888889	99.03	4112	1
s19	31.9313888889	98.8316666667	3792	1
s20	31.8775	98.5908333333	3390	0
s21	31.1230555556	98.8916666667	3029	0
s22	30.9816666667	98.96	4003	1
s23	30.7194444444	99.0913888889	3208	1
s24	30.5977777778	99.1883333333	3469	1
s25	30.2969444444	99.6736111111	4306	0
s26	29.8205555556	100.346388889	3905	1
